Rank,Player,Team,Position,"FHG Value","Games Played",W,SO,SV%,G,A,+/-,PIM,SOG,PPP,BKS
253,"Matt Cullen",NSH,C,-14,77," "," "," ",10,29,4,32,134,9,22
254,"Nicklas Grossmann",PHI,D,-14,78," "," "," ",1,13,-6,55,71,0,174
255,"Marc Methot",OTT,D,-14,75," "," "," ",6,17,0,28,117,3,110
256,"Jason Chimera",WSH,LW,-14,82," "," "," ",15,27,4,36,167,5,30
257,"Cody Hodgson",BUF,C/RW,-14,72," "," "," ",20,24,-26,20,182,17,22
258,"Alexei Emelin",MTL,D,-14,59," "," "," ",3,14,-1,59,58,3,127
259,"Andrew Cogliano",ANA,C/LW,-14,82," "," "," ",22,20,13,26,158,0,36
260,"Jan Hejda",COL,D,-15,78," "," "," ",6,11,8,40,75,0,144
261,"Mason Raymond",CGY,LW,-15,82," "," "," ",19,26,-6,22,178,11,24
262,"Steven Stamkos",TBL,C,-15,37," "," "," ",25,15,9,18,124,13,16
263,"Michael Stone",ARI,D,-16,70," "," "," ",8,13,-10,38,105,6,114
264,"Dustin Brown",LAK,LW/RW,-16,79," "," "," ",15,12,7,66,195,4,12
265,"Mikael Granlund",MIN,C,-16,63," "," "," ",8,33,-3,22,104,12,46
266,"Derek Roy",NSH,C,-16,75," "," "," ",9,28,-1,30,114,13,30
267,"Matt Carkner",NYI,D,-16,53," "," "," ",0,3,-10,149,50,0,59
268,"Artem Anisimov",CBJ,C/LW,-17,81," "," "," ",22,17,-2,20,162,6,55
269,"Daniel Alfredsson",DET,RW,-18,68," "," "," ",18,31,2,10,151,18,25
270,"Tomas Tatar",DET,LW,-18,73," "," "," ",19,20,12,30,158,6,20
271,"Tom Sestito",VAN,LW,-18,77," "," "," ",5,4,-14,213,31,1,12
272,"Dmitry Kulikov",FLA,D,-18,81," "," "," ",8,11,-26,66,127,5,92
273,"Alec Martinez",LAK,D,-18,61," "," "," ",11,11,17,14,79,8,75
274,"Tyler Bozak",TOR,C,-19,58," "," "," ",19,30,2,14,90,8,42
275,"Cody Eakin",DAL,C,-19,81," "," "," ",16,19,-9,36,161,5,58
276,"Scottie Upshall",FLA,RW,-19,76," "," "," ",15,22,1,73,161,6,25
277,"Brendan Smith",DET,D,-19,71," "," "," ",5,14,-2,68,90,1,69
278,"Tom Gilbert",MTL,D,-19,73," "," "," ",3,25,-5,18,93,6,95
279,"Patrik Berglund",STL,C,-19,78," "," "," ",14,18,10,38,144,4,30
280,"Morgan Rielly",TOR,D,-19,73," "," "," ",2,25,-13,12,96,12,92
281,"Johnny Oduya",CHI,D,-19,77," "," "," ",3,13,11,38,83,0,114
282,"Chris Butler",STL,D,-19,82," "," "," ",2,14,-23,39,83,0,211
283,"Jamie McGinn",COL,LW,-19,79," "," "," ",19,19,-3,30,167,9,35
284,"Boone Jenner",CBJ,C/LW,-20,72," "," "," ",16,13,6,45,127,7,37
285,"Nathan Gerbe",CAR,C/LW,-20,79," "," "," ",15,15,-6,34,213,7,15
286,"Ladislav Smid",CGY,D,-20,73," "," "," ",2,6,-10,78,41,0,168
287,"Karl Alzner",WSH,D,-21,82," "," "," ",2,16,-7,26,95,1,158
